"","id","date","trial","trialType","correct","catchTrial","rt","initDone","reward","punish","serialnumber","session","trialType2","go","bino"
"156.1","156","201812131636.mat",2,2,1,0,5.0000183484517,1,0,0,1,1,"bino_nogo",0,1
"156.2","156","201812131636.mat",3,2,1,0,5.00003703730181,1,0,0,1,1,"bino_nogo",0,1
"156.3","156","201812131636.mat",7,1,1,0,0.415841597598046,1,1,0,1,1,"bino_go",1,1
"156.4","156","201812131636.mat",9,2,1,0,5.00001766905189,1,0,0,1,1,"bino_nogo",0,1
"156.5","156","201812131636.mat",11,2,1,0,5.00002378551289,1,0,0,1,1,"bino_nogo",0,1
"156.6","156","201812131636.mat",12,1,1,0,0.395915576722473,1,1,0,1,1,"bino_go",1,1
"156.7","156","201812131636.mat",13,1,1,0,0.461771479807794,1,1,0,1,1,"bino_go",1,1
"156.8","156","201812131636.mat",15,1,1,0,0.371160787064582,1,1,0,1,1,"bino_go",1,1
"156.9","156","201812131636.mat",16,2,1,0,5.00006082234904,1,0,0,1,1,"bino_nogo",0,1
"156.10","156","201812131636.mat",18,2,1,0,5.0000519878231,1,0,0,1,1,"bino_nogo",0,1
"156.11","156","201812131636.mat",21,2,1,0,5.00002004764974,1,0,0,1,1,"bino_nogo",0,1
"156.12","156","201812131636.mat",22,1,1,0,0.341388644184917,1,1,0,1,1,"bino_go",1,1
"156.13","156","201812131636.mat",25,2,1,0,5.00003669736907,1,0,0,1,1,"bino_nogo",0,1
"156.14","156","201812131636.mat",26,1,1,0,0.395560835022479,1,1,0,1,1,"bino_go",1,1
"156.15","156","201812131636.mat",28,2,1,0,5.00001461105421,1,0,0,1,1,"bino_nogo",0,1
"156.16","156","201812131636.mat",29,1,1,0,0.37723556952551,1,1,0,1,1,"bino_go",1,1
"156.17","156","201812131636.mat",35,2,1,0,5.00000849505886,1,0,0,1,1,"bino_nogo",0,1
"156.18","156","201812131636.mat",37,2,1,0,5.00004723062739,1,0,0,1,1,"bino_nogo",0,1
"156.19","156","201812131636.mat",38,2,1,0,5.00004383316264,1,0,0,1,1,"bino_nogo",0,1
"156.20","156","201812131636.mat",41,1,1,0,0.439575315918773,1,1,0,1,1,"bino_go",1,1
"156.21","156","201812131636.mat",43,1,1,0,0.459256346803159,1,1,0,1,1,"bino_go",1,1
"156.22","156","201812131636.mat",47,1,1,0,0.352147105149925,1,1,0,1,1,"bino_go",1,1
"156.23","156","201812131636.mat",49,1,1,0,0.0226963362656534,1,1,0,1,1,"bino_go",1,1
"156.24","156","201812131636.mat",51,1,1,0,0.399337951559573,1,1,0,1,1,"bino_go",1,1
"156.25","156","201812131636.mat",52,2,1,0,5.00005436688662,1,0,0,1,1,"bino_nogo",0,1
"156.26","156","201812131636.mat",54,2,0,0,0.00922362506389618,1,0,1,1,1,"bino_nogo",0,1
"156.27","156","201812131636.mat",55,2,1,0,5.00004485249519,1,0,0,1,1,"bino_nogo",0,1
"156.28","156","201812131636.mat",56,1,1,0,0.311823773663491,1,1,0,1,1,"bino_go",1,1
"156.29","156","201812131636.mat",57,1,1,0,0.521114949602634,1,1,0,1,1,"bino_go",1,1
"156.30","156","201812131636.mat",60,2,1,0,5.00004383269697,1,0,0,1,1,"bino_nogo",0,1
"156.31","156","201812131636.mat",61,1,1,0,0.475697472225875,1,1,0,1,1,"bino_go",1,1
"156.32","156","201812131636.mat",62,1,1,0,0.00762898614630103,1,1,0,1,1,"bino_go",1,1
"156.33","156","201812131636.mat",65,2,1,0,5.00003160070628,1,0,0,1,1,"bino_nogo",0,1
"156.34","156","201812131636.mat",66,1,0,0,5.00005674501881,1,0,0,1,1,"bino_go",1,1
"156.35","156","201812131636.mat",71,1,1,0,0.370913419406861,1,1,0,1,1,"bino_go",1,1
"156.36","156","201812131636.mat",72,1,1,0,0.00828104512766004,1,1,0,1,1,"bino_go",1,1
"156.37","156","201812131636.mat",77,2,0,0,0.0236093541607261,1,0,1,1,1,"bino_nogo",0,1
"156.38","156","201812131636.mat",79,2,1,0,5.00001698965207,1,0,0,1,1,"bino_nogo",0,1
"156.39","156","201812131636.mat",80,1,1,0,1.39332806877792,1,1,0,1,1,"bino_go",1,1
"156.40","156","201812131636.mat",81,2,0,0,7.64532014727592e-05,0,0,0,1,1,"bino_nogo",0,1
"156.41","156","201812131636.mat",82,2,0,0,7.91712664067745e-05,0,0,0,1,1,"bino_nogo",0,1
"156.42","156","201812131636.mat",83,2,1,0,5.00007815193385,1,0,0,1,1,"bino_nogo",0,1
"156.43","156","201812131636.mat",90,2,1,0,5.00006456021219,1,0,0,1,1,"bino_nogo",0,1
"156.44","156","201812131636.mat",92,1,1,0,0.366853937041014,1,1,0,1,1,"bino_go",1,1
"156.45","156","201812131636.mat",94,1,1,0,0.688841537572443,1,1,0,1,1,"bino_go",1,1
"156.46","156","201812131636.mat",95,2,1,0,5.00002208678052,1,0,0,1,1,"bino_nogo",0,1
"156.47","156","201812131636.mat",96,1,1,0,0.401486789342016,1,1,0,1,1,"bino_go",1,1
"156.48","156","201812131636.mat",97,1,1,0,0.896638991776854,1,1,0,1,1,"bino_go",1,1
"156.49","156","201812131636.mat",98,1,1,0,0.389821426011622,1,1,0,1,1,"bino_go",1,1
"156.50","156","201812131636.mat",100,2,1,0,5.0000407746993,1,0,0,1,1,"bino_nogo",0,1
"156.51","156","201812131636.mat",102,2,1,0,5.0000434932299,1,0,0,1,1,"bino_nogo",0,1
"156.52","156","201812131636.mat",105,1,1,0,0.360080883838236,1,1,0,1,1,"bino_go",1,1
"156.53","156","201812131636.mat",107,2,1,0,5.00005436642095,1,0,0,1,1,"bino_nogo",0,1
"156.54","156","201812131636.mat",110,1,0,0,7.61132687330246e-05,0,0,0,1,1,"bino_go",1,1
"156.55","156","201812131636.mat",112,1,1,0,0.00429189950227737,1,1,0,1,1,"bino_go",1,1
"156.56","156","201812131636.mat",117,2,1,0,5.00000781519338,1,0,0,1,1,"bino_nogo",0,1
"156.57","156","201812131636.mat",118,1,1,0,0.843815770931542,1,1,0,1,1,"bino_go",1,1
"156.58","156","201812131636.mat",126,1,1,0,0.0048338663764298,1,1,0,1,1,"bino_go",1,1
"156.59","156","201812131636.mat",128,2,1,0,5.00001800898463,1,0,0,1,1,"bino_nogo",0,1
"156.60","156","201812131636.mat",137,2,1,0,5.00002208631486,1,0,0,1,1,"bino_nogo",0,1
"156.61","156","201901231029.mat",2,1,0,0,0.000131838954985142,0,0,0,2,2,"bino_go",1,1
"156.62","156","201901231029.mat",5,2,0,0,0.0225362950004637,1,0,1,2,2,"bino_nogo",0,1
"156.63","156","201901231029.mat",9,2,1,0,5.00005674501881,1,0,0,2,2,"bino_nogo",0,1
"156.64","156","201901231029.mat",10,2,1,0,5.00003397883847,1,0,0,2,2,"bino_nogo",0,1
"156.65","156","201901231029.mat",11,1,1,0,0.0182168721221387,1,1,0,2,2,"bino_go",1,1
"156.66","156","201901231029.mat",12,1,1,0,0.403572086244822,1,1,0,2,2,"bino_go",1,1
"156.67","156","201901231029.mat",16,1,0,0,9.7180251032114e-05,0,0,0,2,2,"bino_go",1,1
"156.68","156","201901231029.mat",17,1,0,0,9.51411202549934e-05,0,0,0,2,2,"bino_go",1,1
"156.69","156","201901231029.mat",22,2,0,0,0.0220826738514006,1,0,1,2,2,"bino_nogo",0,1
"156.70","156","201901231029.mat",23,1,1,0,0.314751752186567,1,1,0,2,2,"bino_go",1,1
"156.71","156","201901231029.mat",24,2,1,0,5.00002242578194,1,0,0,2,2,"bino_nogo",0,1
"156.72","156","201901231029.mat",25,1,1,0,0.47713648667559,1,1,0,2,2,"bino_go",1,1
"156.73","156","201901231029.mat",29,2,0,0,0.0705664246343076,1,0,1,2,2,"bino_nogo",0,1
"156.74","156","201901231029.mat",32,2,1,0,5.00001597031951,1,0,0,2,2,"bino_nogo",0,1
"156.75","156","201901231029.mat",33,1,1,0,0.345735589507967,1,1,0,2,2,"bino_go",1,1
"156.76","156","201901231029.mat",35,1,0,0,7.91712664067745e-05,0,0,0,2,2,"bino_go",1,1
"156.77","156","201901231029.mat",39,1,0,0,7.71326012909412e-05,0,0,0,2,2,"bino_go",1,1
"156.78","156","201901231029.mat",46,1,1,0,0.385709955822676,1,1,0,2,2,"bino_go",1,1
"156.79","156","201901231029.mat",49,1,0,0,8.32490622997284e-05,0,0,0,2,2,"bino_go",1,1
"156.80","156","201901231029.mat",50,2,1,0,5.00006286147982,1,0,0,2,2,"bino_nogo",0,1
"156.81","156","201901231029.mat",53,2,1,0,5.00006490014493,1,0,0,2,2,"bino_nogo",0,1
"156.82","156","201901231029.mat",56,1,1,0,0.796987481415272,1,1,0,2,2,"bino_go",1,1
"156.83","156","201901231029.mat",58,1,1,0,0.446358562447131,1,1,0,2,2,"bino_go",1,1
"156.84","156","201901231029.mat",59,1,0,0,8.25691968202591e-05,0,0,0,2,2,"bino_go",1,1
"156.85","156","201901231029.mat",60,2,1,0,5.00000951392576,1,0,0,2,2,"bino_nogo",0,1
"156.86","156","201901231029.mat",62,1,1,0,0.0335665885359049,1,1,0,2,2,"bino_go",1,1
"156.87","156","201901231029.mat",64,2,0,0,0.0521782981231809,1,0,1,2,2,"bino_nogo",0,1
"156.88","156","201901231029.mat",68,2,1,0,5.00002344558015,1,0,0,2,2,"bino_nogo",0,1
"156.89","156","201901231029.mat",69,2,1,0,5.00001970818266,1,0,0,2,2,"bino_nogo",0,1
"156.90","156","201901231029.mat",70,2,1,0,5.00004111463204,1,0,0,2,2,"bino_nogo",0,1
"156.91","156","201901231029.mat",72,1,1,0,0.431938854046166,1,1,0,2,2,"bino_go",1,1
"156.92","156","201901231029.mat",73,1,1,0,0.459375273901969,1,1,0,2,2,"bino_go",1,1
"156.93","156","201901231029.mat",75,1,0,0,8.32490622997284e-05,0,0,0,2,2,"bino_go",1,1
"156.94","156","201901231029.mat",80,2,0,0,0.00547810969874263,1,0,1,2,2,"bino_nogo",0,1
"156.95","156","201901231029.mat",82,2,1,0,5.00001359172165,1,0,0,2,2,"bino_nogo",0,1
"156.96","156","201901231029.mat",84,1,1,0,0.361975218169391,1,1,0,2,2,"bino_go",1,1
"156.97","156","201901231029.mat",85,2,1,0,5.00004723109305,1,0,0,2,2,"bino_nogo",0,1
"156.98","156","201901231029.mat",86,2,1,0,5.00004383316264,1,0,0,2,2,"bino_nogo",0,1
"156.99","156","201901231029.mat",89,1,0,0,7.57733359932899e-05,0,0,0,2,2,"bino_go",1,1
"156.100","156","201901231029.mat",92,2,1,0,5.00006354087964,1,0,0,2,2,"bino_nogo",0,1
"156.101","156","201901231029.mat",95,2,0,0,0.0703231343068182,1,0,1,2,2,"bino_nogo",0,1
"156.102","156","201901231029.mat",99,2,1,0,5.00004009576514,1,0,0,2,2,"bino_nogo",0,1
"156.103","156","201901231029.mat",100,2,1,0,5.00005742488429,1,0,0,2,2,"bino_nogo",0,1
"156.104","156","201901231029.mat",103,1,1,0,0.361897406168282,1,1,0,2,2,"bino_go",1,1
"156.105","156","201901231029.mat",105,1,1,0,0.606017833575606,1,1,0,2,2,"bino_go",1,1
"156.106","156","201901231029.mat",107,2,0,0,0.0480698854662478,1,0,1,2,2,"bino_nogo",0,1
"156.107","156","201901231029.mat",108,2,1,0,5.00002038758248,1,0,0,2,2,"bino_nogo",0,1
"156.108","156","201901231029.mat",113,1,1,0,0.796606575604528,1,1,0,2,2,"bino_go",1,1
"156.109","156","201901231029.mat",114,1,1,0,1.09839190496132,1,1,0,2,2,"bino_go",1,1
"156.110","156","201901231029.mat",116,2,1,0,5.00003771670163,1,0,0,2,2,"bino_nogo",0,1
"156.111","156","201901231029.mat",118,2,0,0,7.95111991465092e-05,0,0,0,2,2,"bino_nogo",0,1
"156.112","156","201901231029.mat",120,1,1,0,0.528661366552114,1,1,0,2,2,"bino_go",1,1
"156.113","156","201901231029.mat",122,1,1,0,1.13621471496299,1,1,0,2,2,"bino_go",1,1
"156.114","156","201901231029.mat",125,1,1,0,0.424570486880839,1,1,0,2,2,"bino_go",1,1
"156.115","156","201901231029.mat",126,2,0,0,0.0658181859180331,1,0,1,2,2,"bino_nogo",0,1
"156.116","156","201901231029.mat",127,2,1,0,5.00004247389734,1,0,0,2,2,"bino_nogo",0,1
